"department","region","education","gender","recruitment_channel","no_of_trainings","age","previous_year_rating","length_of_service","awards_won.","avg_training_score","is_promoted"
"Sales & Marketing","region_7","Bachelor","f","sourcing",1,35,"5",3,0,50,"Yes"
"Finance","region_22","Master_and_above","m","sourcing",2,39,"5",7,0,59,"No"
"Sales & Marketing","region_2","No_Education","m","sourcing",2,25,"3",2,0,53,"No"
"Procurement","region_2","Master_and_above","m","sourcing",2,46,"4",3,0,74,"No"
"Technology","region_29","Bachelor","f","other",2,30,"3",7,1,76,"No"
"Operations","region_13","Master_and_above","m","other",1,43,"3",7,0,56,"Yes"
"Operations","region_13","Bachelor","m","other",1,36,"1",5,0,56,"No"
"Analytics","region_26","Bachelor","m","other",2,27,"5",3,0,85,"No"
"Analytics","region_2","Bachelor","m","sourcing",2,54,"3",9,0,86,"No"
"Sales & Marketing","region_27","Bachelor","m","other",1,40,"1",10,0,49,"No"
"Technology","region_11","Master_and_above","m","other",1,32,"3",5,0,80,"No"
"Sales & Marketing","region_6","No_Education","m","sourcing",1,23,"3",2,0,51,"No"
"Sales & Marketing","region_22","Bachelor","f","sourcing",1,32,"1",4,0,50,"No"
"Technology","region_2","Bachelor","f","other",1,59,"3",28,0,78,"No"
"Procurement","region_32","Bachelor","m","other",2,32,"3",3,0,70,"No"
"Technology","region_2","Bachelor","m","other",1,31,"3",3,0,79,"No"
"Sales & Marketing","region_14","Master_and_above","m","other",1,33,"4",3,0,94,"Yes"
"Sales & Marketing","region_26","Bachelor","m","other",2,25,"1",4,0,47,"No"
"Technology","region_22","Bachelor","m","sourcing",1,33,"5",2,0,79,"No"
"Sales & Marketing","region_22","Bachelor","m","other",2,36,"1",4,0,49,"No"
"Sales & Marketing","region_17","Bachelor","m","other",1,40,"1",10,0,48,"No"
"Sales & Marketing","region_22","Bachelor","m","sourcing",1,45,"4",12,0,47,"No"
"R&D","region_4","Master_and_above","m","other",2,38,"4",4,0,80,"No"
"Technology","region_2","Bachelor","f","other",1,30,"1",7,0,80,"No"
"Finance","region_22","Bachelor","m","sourcing",1,25,"4",4,0,63,"No"
"Sales & Marketing","region_2","Master_and_above","m","other",2,35,"5",9,0,49,"No"
"Technology","region_13","Master_and_above","m","sourcing",2,35,"1",7,0,81,"No"
"Sales & Marketing","region_23","Bachelor","f","sourcing",1,28,"5",4,0,53,"No"
"Sales & Marketing","region_19","Bachelor","m","other",1,35,"3",10,0,49,"No"
"HR","region_7","Master_and_above","f","other",1,42,"4",11,0,54,"No"
"Analytics","region_31","Bachelor","m","other",1,26,"3",5,0,86,"No"
"Technology","region_15","Bachelor","f","other",2,30,"5",4,0,81,"No"
"Operations","region_2","Master_and_above","m","sourcing",1,57,"4",16,0,64,"No"
"Sales & Marketing","region_13","Bachelor","m","sourcing",1,41,"3",11,0,46,"No"
"Technology","region_13","Bachelor","m","other",1,29,"3",2,0,76,"No"
"Procurement","region_2","Bachelor","m","sourcing",2,34,"3",4,0,66,"No"
"Operations","region_27","Bachelor","m","sourcing",1,28,"2",3,0,62,"No"
"Sales & Marketing","region_26","No_Education","m","other",1,36,"1",7,0,46,"No"
"Sales & Marketing","region_27","Bachelor","m","other",1,33,"3",8,0,57,"No"
"Sales & Marketing","region_16","No_Education","m","sourcing",2,23,"No_Rating",1,0,50,"No"
"Procurement","region_31","Bachelor","f","other",2,26,"3",3,0,70,"No"
"Procurement","region_17","Bachelor","f","other",1,26,"5",4,0,86,"Yes"
"Analytics","region_31","Bachelor","m","sourcing",2,29,"3",2,0,86,"No"
"Sales & Marketing","region_2","Bachelor","m","other",1,28,"2",6,0,51,"No"
"Analytics","region_32","Bachelor","f","other",1,32,"2",5,0,82,"No"
"Procurement","region_2","Bachelor","f","other",2,36,"3",3,0,73,"No"
"Technology","region_2","Bachelor","m","referred",1,27,"3",2,0,76,"No"
"Finance","region_2","Master_and_above","f","sourcing",1,38,"5",3,0,60,"No"
"Finance","region_2","Below_Secondary","f","other",1,25,"3",2,0,58,"No"
"Finance","region_7","Bachelor","m","other",1,28,"5",2,0,58,"No"
"Operations","region_2","Bachelor","m","other",2,45,"3",5,0,62,"No"
"Operations","region_22","Bachelor","f","other",2,28,"No_Rating",1,0,61,"No"
"Analytics","region_22","Bachelor","f","sourcing",1,26,"5",4,0,86,"Yes"
"Procurement","region_13","Bachelor","m","sourcing",1,32,"4",3,0,65,"No"
"Analytics","region_2","Bachelor","f","other",1,35,"4",10,0,86,"No"
"HR","region_2","Master_and_above","m","other",1,50,"4",10,0,50,"No"
"Sales & Marketing","region_9","Master_and_above","m","other",1,28,"2",4,0,49,"No"
"Sales & Marketing","region_6","Bachelor","f","sourcing",1,44,"1",12,0,49,"No"
"Sales & Marketing","region_8","Bachelor","m","sourcing",1,39,"3",11,0,54,"No"
"Sales & Marketing","region_13","Master_and_above","f","sourcing",1,41,"1",9,0,54,"No"
"Analytics","region_32","Bachelor","m","sourcing",1,27,"No_Rating",1,0,85,"No"
"Procurement","region_2","Master_and_above","f","sourcing",1,35,"1",4,0,74,"No"
"Sales & Marketing","region_22","Master_and_above","m","other",1,33,"1",5,0,49,"No"
"Sales & Marketing","region_2","No_Education","f","other",1,43,"5",11,0,46,"Yes"
"Procurement","region_17","Bachelor","f","other",1,40,"4",6,0,66,"No"
"Procurement","region_22","Bachelor","f","other",1,27,"3",4,0,67,"No"
"Technology","region_16","Bachelor","f","referred",1,26,"4",3,0,80,"No"
"Operations","region_22","Master_and_above","m","sourcing",1,32,"4",3,0,60,"No"
"Operations","region_15","Bachelor","f","other",1,43,"5",12,0,62,"No"
"Operations","region_13","Bachelor","f","sourcing",1,35,"3",9,0,59,"No"
"Sales & Marketing","region_2","Bachelor","m","other",1,44,"4",16,0,48,"No"
"Finance","region_2","Master_and_above","m","sourcing",1,35,"3",2,0,58,"No"
"Sales & Marketing","region_1","Bachelor","m","sourcing",2,28,"3",3,0,49,"No"
"Analytics","region_8","Bachelor","m","sourcing",1,27,"5",5,0,87,"Yes"
"Sales & Marketing","region_28","Bachelor","f","other",1,32,"5",7,1,48,"No"
"Sales & Marketing","region_2","Master_and_above","m","sourcing",1,37,"3",7,0,59,"Yes"
"Sales & Marketing","region_7","Bachelor","m","sourcing",1,27,"3",3,0,48,"No"
"Operations","region_27","Bachelor","f","other",1,31,"3",5,0,58,"No"
"Procurement","region_7","Master_and_above","m","sourcing",1,49,"3",8,0,75,"No"
"Operations","region_22","Master_and_above","m","other",1,60,"5",4,1,60,"No"
"Procurement","region_19","Bachelor","m","sourcing",1,38,"5",3,0,70,"Yes"
"Procurement","region_15","Master_and_above","m","sourcing",1,43,"4",4,0,66,"No"
"Operations","region_4","Bachelor","f","other",1,34,"5",8,0,60,"No"
"Operations","region_31","Bachelor","f","sourcing",1,30,"3",2,0,63,"No"
"Sales & Marketing","region_2","Master_and_above","f","sourcing",1,50,"5",6,0,52,"No"
"Analytics","region_27","Bachelor","m","other",1,27,"4",3,0,83,"No"
"Sales & Marketing","region_22","Bachelor","f","other",1,36,"3",3,0,46,"No"
"Procurement","region_2","Master_and_above","f","sourcing",2,45,"2",15,0,70,"No"
"Sales & Marketing","region_28","Bachelor","m","other",1,35,"4",7,0,50,"No"
"Operations","region_8","Master_and_above","m","sourcing",1,34,"3",5,0,55,"No"
"Finance","region_13","Bachelor","f","other",1,37,"3",8,0,60,"No"
"Procurement","region_22","Master_and_above","m","other",2,37,"3",5,0,68,"No"
"Operations","region_31","Bachelor","f","sourcing",1,43,"4",12,0,51,"No"
"Analytics","region_10","Master_and_above","m","sourcing",1,35,"3",9,0,83,"No"
"Procurement","region_5","Bachelor","m","sourcing",3,36,"2",4,0,66,"No"
"Sales & Marketing","region_2","Master_and_above","m","sourcing",1,31,"5",4,0,48,"No"
"Technology","region_5","Bachelor","m","other",1,36,"3",7,0,85,"No"
"Operations","region_29","Bachelor","m","other",1,28,"1",4,0,59,"No"
"Sales & Marketing","region_28","No_Education","m","other",1,36,"2",4,0,48,"No"
"HR","region_28","Bachelor","m","sourcing",1,31,"5",3,0,52,"No"
"Technology","region_13","Bachelor","f","sourcing",2,33,"2",4,0,79,"No"
"Analytics","region_7","Bachelor","m","other",1,35,"5",5,0,89,"No"
"Analytics","region_22","Bachelor","m","sourcing",2,30,"5",9,0,85,"No"
"Legal","region_2","Bachelor","m","other",1,31,"3",4,0,59,"No"
"Operations","region_27","Bachelor","m","sourcing",1,35,"3",6,0,64,"No"
"HR","region_2","Bachelor","m","sourcing",1,26,"5",2,0,48,"No"
"Operations","region_27","Master_and_above","m","sourcing",1,44,"3",15,0,57,"No"
"Sales & Marketing","region_2","Bachelor","f","other",1,51,"1",19,0,55,"No"
"Analytics","region_19","Bachelor","m","other",1,37,"4",8,0,83,"No"
"Operations","region_32","Bachelor","f","other",1,40,"4",5,0,61,"No"
"Sales & Marketing","region_15","Master_and_above","m","other",2,36,"3",9,0,47,"No"
"Sales & Marketing","region_2","No_Education","m","other",1,26,"2",2,0,54,"No"
"Finance","region_22","Bachelor","f","sourcing",1,26,"No_Rating",1,0,63,"No"
"Sales & Marketing","region_2","Bachelor","m","sourcing",2,33,"5",7,0,48,"No"
"Sales & Marketing","region_26","No_Education","f","sourcing",1,24,"4",2,0,50,"No"
"Technology","region_13","Bachelor","f","sourcing",2,29,"4",6,0,84,"Yes"
"Finance","region_15","Master_and_above","m","other",1,34,"5",4,0,60,"No"
"Operations","region_7","Bachelor","m","sourcing",1,38,"1",7,0,56,"No"
"Sales & Marketing","region_4","Bachelor","f","sourcing",2,33,"5",5,0,44,"No"
"Procurement","region_2","Bachelor","f","other",1,40,"1",7,0,69,"No"
"Operations","region_26","Bachelor","f","other",1,30,"3",2,0,60,"No"
"Sales & Marketing","region_22","Bachelor","m","other",1,27,"4",5,0,49,"Yes"
"Sales & Marketing","region_13","Bachelor","m","sourcing",1,29,"3",2,0,47,"No"
"Technology","region_31","Master_and_above","m","sourcing",3,38,"3",9,0,76,"No"
"Operations","region_2","Bachelor","m","sourcing",1,37,"5",8,0,62,"No"
"Finance","region_7","Master_and_above","m","other",2,31,"3",3,0,63,"No"
"Technology","region_33","Bachelor","m","sourcing",1,45,"3",14,0,73,"No"
"Finance","region_4","Bachelor","m","sourcing",1,28,"2",3,0,57,"No"
"HR","region_26","Bachelor","f","other",1,31,"1",6,0,53,"No"
"Sales & Marketing","region_26","Bachelor","m","other",1,43,"5",3,0,52,"No"
"Technology","region_25","Bachelor","m","other",1,30,"3",5,0,80,"No"
"Operations","region_22","Master_and_above","m","other",1,46,"3",4,0,59,"No"
"Procurement","region_17","Bachelor","f","other",1,26,"5",3,0,72,"No"
"Sales & Marketing","region_15","No_Education","m","sourcing",1,30,"1",7,0,48,"No"
"Sales & Marketing","region_13","Bachelor","m","other",1,20,"No_Rating",1,0,48,"No"
"Technology","region_24","Bachelor","m","other",1,29,"3",6,0,77,"No"
"Technology","region_7","Master_and_above","m","other",2,32,"2",4,0,80,"No"
"HR","region_4","Master_and_above","f","other",1,32,"3",6,0,53,"No"
"Technology","region_28","Master_and_above","m","other",2,34,"4",6,0,80,"No"
"Sales & Marketing","region_7","Bachelor","m","other",1,33,"5",7,0,48,"No"
"Operations","region_2","Bachelor","f","other",1,35,"4",10,0,62,"No"
"Sales & Marketing","region_7","Bachelor","m","sourcing",2,44,"4",4,0,46,"No"
"Operations","region_2","Master_and_above","f","other",1,55,"5",8,0,57,"No"
"Technology","region_13","Bachelor","f","other",1,29,"1",2,0,78,"No"
